glucose_uptake,oxygen_uptake,ammonia_uptake,phosphate_uptake,Biomass_Ecoli_core_flux
8.12,13.46,2.3,0.46,0.12504417321336123
1.71,22.39,5.52,1.57,0.11402075951881097
0.75,17.3,4.62,2.49,0.02514850096876173
3.7,5.5,5.39,5.83,0.20808684403154457
1.84,14.97,3.45,2.74,0.12593717654757478
2.62,20.65,3.93,3.31,0.1974356787201565
3.12,4.63,0.78,4.31,0.14304577464788734
2.04,17.28,3.18,2.55,0.1442701258225958
4.74,9.26,0.89,1.93,0.16321889671361536
6.67,16.68,2.36,2.81,0.432805164319249
2.02,5.34,0.28,5.39,0.05134976525821598
2.19,5.77,2.31,0.85,0.14739842669587258
6.43,1.97,1.16,3.9,0.1738383043482841
3.46,17.73,4.5,1.61,0.27443406567524326
6.54,3.0,4.34,2.68,0.21426581698741914
2.75,15.14,6.98,5.99,0.20935209574892036
6.12,10.18,1.88,1.62,0.3447769953051649
4.85,9.25,7.32,2.27,0.34940492253101946
3.8,9.65,6.71,3.94,0.30560007944278056
6.18,8.42,6.56,0.33,0.08970560252263808
8.72,12.87,3.25,3.03,0.5960240610328651
6.71,0.42,6.99,2.74,0.1265713426530753
3.5,3.54,3.57,3.03,0.13789409289544846
4.1,17.0,3.43,5.77,0.33309950335531174
6.03,20.21,0.96,2.44,0.17605633802816928
3.43,14.28,6.9,0.56,0.15222768912931134
0.82,21.27,1.78,4.05,0.03165471294061663
5.47,20.84,1.09,0.87,0.19989730046948376
5.61,23.66,3.38,2.03,0.4715132703817204
6.11,23.27,6.71,5.97,0.5173456435692726
2.92,6.06,6.32,0.43,0.11688911843857708
3.76,12.69,4.53,4.4,0.301933489587776
3.61,15.36,4.72,3.33,0.2881837776315104
6.44,6.56,0.77,0.8,0.14121185446009446
2.32,12.55,6.74,4.24,0.1699362548076252
7.91,8.84,3.3,2.42,0.4534365065674363
2.0,1.62,4.77,5.94,0.02630557329258827
1.75,1.26,6.26,1.59,0.0057318459700693
8.31,17.63,7.57,2.51,0.6823062494903163
6.65,11.67,5.08,2.75,0.4875957299091531
1.97,12.75,4.28,4.88,0.1378535935763384
7.38,16.63,1.0,4.35,0.18339201877934336
5.05,22.36,7.37,0.43,0.11688911843857852
8.22,1.04,3.0,3.3,0.1948827629823543
1.57,18.68,0.17,1.09,0.031176643192488394
5.85,17.89,7.34,4.26,0.49351280951174487
6.75,9.92,0.11,0.81,0.020173122065727498
5.39,16.91,3.4,4.41,0.4513470261791967
5.27,1.95,1.62,5.06,0.13778582389886224
7.28,22.38,1.03,5.94,0.18889377934272295
6.71,4.5,4.68,5.43,0.27340509856096723
3.27,16.79,1.58,3.79,0.25701776386397557
3.43,5.36,2.57,1.16,0.19476321997330398
9.03,9.99,2.04,2.75,0.37411971830985935
3.27,18.64,7.77,2.68,0.257017763863974
8.62,14.19,1.34,4.17,0.24574530516431964
5.18,16.3,7.13,2.7,0.4320974294404251
9.02,18.79,3.96,3.66,0.7262323943661975
3.32,24.59,5.37,0.36,0.09786065729741406
3.33,15.62,0.55,0.24,0.06524043819828149
4.56,8.38,3.56,1.65,0.316119761285455
1.73,17.26,4.17,1.28,0.11585405444631323
3.26,14.84,0.67,0.97,0.12287265258215987
0.83,20.33,6.04,4.54,0.03258417179373866
7.19,16.77,3.87,3.89,0.6163435696543859
0.48,15.57,6.25,3.05,5.3111934464137655e-05
3.64,7.01,5.18,4.19,0.24243330087286194
8.72,8.62,6.18,3.41,0.47260952655368527
8.84,13.24,4.19,3.51,0.6241796674340534
7.52,24.12,0.68,0.42,0.11417076684699323
9.38,13.29,4.96,2.95,0.645816639310811
1.03,19.23,6.0,1.94,0.051173348856181286
3.13,20.96,0.67,5.3,0.12287265258215958
2.64,14.87,7.49,4.1,0.19926897364765866
4.2,17.27,2.82,1.74,0.34226597799282227
9.97,18.79,5.19,2.2,0.5980373501508753
5.42,21.04,0.36,2.26,0.0660211267605634
2.45,11.24,0.67,5.73,0.12287265258215965
2.31,23.07,3.46,5.91,0.16901960734387386
5.59,23.28,0.14,4.51,0.025674882629108078
9.04,3.58,0.86,2.6,0.15771713615023478
9.34,13.61,4.27,0.93,0.2528066980183212
9.15,5.3,5.36,0.56,0.1522276891293128
6.08,4.18,5.91,1.88,0.24253328671870233
4.69,15.03,1.45,4.48,0.265918427230047
3.1,16.59,1.35,4.16,0.24143475698020683
1.37,10.69,2.05,4.52,0.08277494986233382
2.69,22.05,7.15,1.26,0.20385221096641398
6.18,2.28,3.19,4.31,0.1773826342234957
6.63,15.66,2.33,2.33,0.4273034037558686
1.12,18.0,4.08,4.28,0.05953847853428063
2.56,8.18,2.74,0.25,0.06795878978987163
3.48,20.1,7.19,3.16,0.27626736060274687
4.61,0.87,7.05,0.18,0.048930328648708186
9.45,12.28,2.8,5.55,0.5134976525821556
4.35,16.34,5.84,0.1,0.027183515915945172
9.37,4.2,1.95,1.65,0.3436615475098034
1.24,2.76,5.78,5.14,0.03468798413330796
2.64,0.62,1.86,0.43,0.00980228731113315
1.12,10.84,1.92,3.14,0.05953847853428068
2.61,23.52,7.26,3.44,0.19651903125640546
3.61,9.59,3.35,4.39,0.2881837776315104
4.57,21.43,7.56,2.08,0.3761819341516111
5.65,2.47,1.68,2.54,0.16807876830106316
2.14,21.93,1.35,2.79,0.15343660046010607
6.1,17.33,3.13,5.23,0.5164289961055217
5.73,11.04,0.63,2.84,0.1155369718309861
8.23,15.4,6.67,3.01,0.6457576340346259
7.92,7.46,4.02,2.58,0.40891610422648683
4.16,5.86,1.18,1.26,0.2164025821596245
0.65,5.03,0.17,3.8,0.015853912437540373
3.23,24.33,1.63,2.14,0.25335117400897056
3.64,0.31,6.73,0.29,0.029102271084747926
9.41,22.31,4.33,3.31,0.7940874413145547
6.57,9.74,5.21,0.36,0.09786065729741421
0.64,11.49,4.44,5.34,0.014924453584418233
1.14,20.58,1.76,2.43,0.06139739624052482
3.23,10.06,1.29,3.07,0.23657570422535218
8.04,11.09,3.98,5.11,0.5307785193933204
7.09,12.31,2.14,5.32,0.39245892018779316
5.81,5.61,2.23,4.84,0.2802293938103099
0.54,24.8,1.13,4.8,0.005629865053196917
4.01,12.36,7.06,2.54,0.3248496761815523
5.42,1.33,0.12,1.54,0.022007042253521
6.84,3.12,1.0,2.52,0.18339201877934277
6.51,17.83,1.51,0.57,0.15494604072090584
9.41,6.59,6.84,5.19,0.4290640235340696
7.75,4.3,6.59,4.64,0.29791754005785015
6.01,8.5,2.17,0.82,0.22290483051078128
5.15,14.67,2.94,2.9,0.4293474870491722
3.7,16.06,7.22,1.07,0.2908636203006466
3.88,3.61,5.04,4.4,0.15251758271546842
9.33,7.04,7.61,0.47,0.12776252480495526
6.07,1.52,7.16,3.23,0.1466743386640424
6.73,20.81,1.29,0.33,0.08970560252263626
8.8,7.94,1.12,2.86,0.2053990610328639
6.02,0.87,2.27,0.29,0.07883219615625164
4.26,22.39,7.86,3.86,0.3477658627753344
1.7,22.66,4.18,1.01,0.11310411205506
9.23,18.96,5.88,4.28,0.7733890109486506
2.08,5.35,5.54,1.4,0.1327070451805892
4.44,19.57,6.29,2.77,0.36426551712284816
7.94,20.98,5.27,1.45,0.39416098078126677
2.81,7.94,1.02,1.71,0.18705985915492973
2.17,11.44,7.28,0.72,0.15618654285135933
7.23,17.21,0.86,5.54,0.15771713615023458
5.73,9.16,6.08,1.62,0.3877402461724608
6.97,1.09,6.73,2.74,0.15860876191573237
6.4,5.61,5.45,4.66,0.2994024137965588
4.78,15.48,3.7,5.38,0.3954315308903833
5.03,21.06,6.43,2.52,0.4183477174841594
2.38,10.21,6.63,1.44,0.1754361395901313
5.29,20.17,2.89,3.89,0.4421805515416867
2.53,2.82,6.38,0.68,0.08297476446026185
2.79,21.39,2.84,5.84,0.21301868560392462
9.8,6.78,0.42,4.26,0.07702464788732373
4.56,2.61,5.69,0.28,0.07611384456465636
8.71,3.55,1.11,1.14,0.2035651408450707
9.61,17.36,6.43,2.45,0.6659961399407373
3.43,5.94,3.9,3.36,0.20822992828259268
6.35,6.5,7.59,1.1,0.29901867507544816
9.66,0.47,3.9,2.07,0.21822549801988192
4.55,14.31,3.54,2.55,0.37434863922410894
7.35,17.18,6.68,1.57,0.42678119988038843
6.13,14.67,3.02,2.97,0.5191789384967745
3.21,3.63,1.79,0.72,0.13139476408655054
6.86,16.55,7.61,4.41,0.5860942033506016
0.62,22.12,6.92,2.72,0.01306553587817399
5.9,24.4,4.31,5.44,0.4980960468305006
0.92,4.86,3.58,3.55,0.04094930147183802
8.18,24.71,3.17,0.38,0.10329736048060793
8.03,15.15,1.67,3.02,0.3062646713615024
7.45,19.28,4.05,1.9,0.5164868024030244
9.74,16.62,3.33,1.75,0.4757115285290982
7.34,6.13,1.46,3.23,0.2677523474178407
2.97,15.76,1.03,3.96,0.18889377934272306
8.69,5.92,6.25,3.69,0.3838936883122298
9.71,9.4,5.48,0.47,0.12776252480495504
4.02,24.1,4.36,1.8,0.3257663236453036
1.29,17.62,5.19,2.31,0.07533927903735697
9.51,0.65,2.5,5.53,0.22013611334323901
3.28,6.38,4.32,4.96,0.21144366798906117
1.12,23.58,6.38,1.17,0.05953847853428064
7.15,9.69,3.28,4.72,0.45636120453144047
9.63,3.25,3.42,2.94,0.3173836642943654
3.83,9.14,0.51,4.14,0.09352992957746481
4.42,4.95,6.55,4.84,0.21361127351910753
4.92,7.53,5.14,1.8,0.3131355744151632
2.44,18.29,0.42,0.66,0.07702464788732435
2.96,3.82,2.0,5.62,0.1294449654438812
5.25,9.18,7.0,2.43,0.3661622795718892
3.42,5.26,3.08,1.97,0.1911885891284103
6.81,7.31,4.66,0.49,0.13319922798814546
1.99,10.24,7.5,2.33,0.1396868885038404
6.67,6.45,1.1,0.45,0.12232582162177458
3.12,4.03,1.47,4.59,0.14146872374034217
5.67,7.9,2.43,4.43,0.3500971785059616
8.73,4.9,0.87,5.4,0.15955105633802807
3.56,13.83,2.94,0.84,0.22834153369396631
5.93,13.18,1.7,2.77,0.3117664319248827
7.99,14.8,0.87,3.33,0.1595510563380282
7.06,19.84,5.07,1.0,0.27183515915948436
7.13,16.97,0.29,2.53,0.053183685446009446
3.4,16.77,1.81,3.59,0.2689341808927384
9.14,19.97,7.38,5.87,0.7924418963512835
2.59,24.53,4.95,4.78,0.1946857363289033
0.95,4.67,6.09,0.23,0.04373767803120444
8.19,0.45,5.29,2.25,0.17273070126228007
6.15,17.43,2.81,0.74,0.2011580177780232
0.79,14.76,4.21,4.48,0.028866336381250426
5.15,10.62,3.24,0.26,0.07067714138146707
3.42,24.4,7.0,2.04,0.27076747582024047
5.92,21.2,3.59,0.21,0.05708538342349407
0.84,12.81,7.76,4.19,0.033513630646860804
0.8,4.82,6.19,5.06,0.029795795234372386
6.22,16.15,0.32,4.99,0.058685446009389595
7.9,6.55,5.7,1.37,0.3724141680484947
0.5,5.11,1.51,2.09,0.0019120296407074508
4.24,12.76,3.87,1.7,0.34593256784782656
8.68,18.69,6.88,3.02,0.7419402723924967
1.4,17.44,1.73,2.7,0.08556332642170057
0.74,20.65,1.09,5.43,0.024219042115639553
8.66,11.67,5.98,3.75,0.5697744922467072
8.05,10.85,6.31,2.83,0.5233042912630876
9.42,12.21,3.75,4.73,0.6120201295045429
8.23,13.91,1.52,2.86,0.27875586854460127
9.68,18.85,6.51,0.29,0.07883219615624916
4.73,16.2,6.66,0.39,0.1060157120721951
8.54,13.76,1.66,1.97,0.3044307511737083
2.89,13.32,0.51,1.04,0.09352992957746481
8.15,3.4,1.94,2.77,0.27770378373828275
5.22,19.11,3.63,4.76,0.4357640192954285
6.22,2.92,1.34,2.68,0.20163914180697692
4.03,18.61,4.69,2.39,0.3266829711090527
1.79,5.75,4.65,2.6,0.12135393922881947
5.2,4.35,5.34,5.13,0.21946066944711576
2.65,12.34,7.81,2.07,0.20018562111140972
5.99,2.35,4.89,0.63,0.1712561502704797
9.6,17.92,6.33,4.25,0.7665024258633608
5.94,11.3,6.88,5.75,0.44650577223359517
5.04,23.3,4.71,3.28,0.4192643649479107
4.6,5.31,0.13,1.52,0.023840962441314516
5.15,9.56,3.64,5.89,0.37029423062306205
3.57,11.36,1.15,0.38,0.1032973604806118
7.78,14.31,6.11,0.98,0.266398455976299
5.76,6.42,1.9,0.17,0.046211977057115196
1.39,7.8,1.02,5.92,0.08463386756857814
3.16,3.35,1.67,3.57,0.12067087155186919
0.73,21.57,7.7,1.56,0.023289583262517524
4.56,0.65,5.16,2.54,0.06936364326098289
2.77,5.25,5.27,2.56,0.16208980821115593
1.88,17.26,4.56,5.17,0.129603766402579
1.26,19.66,5.42,0.78,0.07255090247799052
6.98,11.09,7.57,0.94,0.2555250496099174
6.46,9.61,7.66,2.05,0.4313387886171841
9.63,22.55,2.24,4.84,0.4107981220657287
9.96,6.39,3.55,3.17,0.44043784894963994
3.02,0.48,1.84,1.76,0.016337145518554856
4.49,4.36,7.0,4.26,0.19671301861597323
0.94,16.29,5.26,5.74,0.042808219178082245
7.23,19.17,0.82,3.13,0.1503814553990607
2.39,4.61,6.5,0.9,0.12995241114647352
4.74,23.47,1.57,5.87,0.28792546948356856
9.94,13.93,1.44,1.97,0.26408450704225356
4.3,7.8,2.32,5.84,0.2908689493060617
1.62,18.36,0.1,3.62,0.018339201877934242
9.17,7.27,1.57,3.94,0.2879254694835682
7.15,17.23,2.62,1.59,0.4322179030635811
9.56,23.09,3.71,5.09,0.6803843896713622
4.58,10.67,1.34,2.62,0.2457453051643193
5.42,0.66,3.61,4.71,0.09591842724792178
6.83,15.92,7.29,0.21,0.057085383423497706
5.61,19.7,4.38,2.01,0.4715132703817205
1.45,22.2,3.82,5.28,0.09018792546128382
5.9,16.89,6.45,3.99,0.4980960468305006
4.04,12.89,6.44,2.3,0.32759961857280534
3.94,2.48,7.33,0.64,0.11635370418469054
6.52,10.39,3.3,4.11,0.4522445931380024
0.76,14.88,6.2,4.99,0.026077959821883965
1.79,22.45,5.28,5.3,0.12135393922881946
4.9,13.6,7.36,5.41,0.4064313004553958
4.54,6.93,3.21,2.39,0.28185422601253474
2.94,6.79,6.9,0.51,0.13863593117134174
6.81,4.4,2.82,0.46,0.12504417321336336
2.77,19.23,7.09,1.41,0.21118539067642222
4.69,11.81,7.0,4.6,0.3871817037166237
5.18,16.8,6.79,0.16,0.04349362546551956
4.09,22.69,5.95,3.3,0.33218285589156066
5.34,8.76,4.21,3.97,0.3606530115036575
4.24,17.88,6.9,1.01,0.2745535107510839
4.57,10.26,5.53,1.57,0.3597348001589525
6.44,21.95,3.4,5.47,0.5475950098730569
9.93,2.74,1.94,5.71,0.3081628686033846
9.59,2.53,0.22,1.05,0.04034624413145565
9.96,4.58,4.07,5.11,0.37531130569236004
2.91,17.2,5.43,1.41,0.22401845516893687
8.02,11.48,4.89,3.67,0.5428022776897808
8.29,10.68,2.28,1.66,0.4181338028169012
5.41,11.28,3.58,0.64,0.17397450186206942
7.21,5.42,1.66,2.54,0.30443075117370894
2.36,14.64,3.03,2.75,0.17360284466262915
5.42,5.17,1.33,5.29,0.24391138497652587
4.39,10.36,0.38,3.04,0.06968896713615025
5.59,14.02,5.69,1.15,0.31261043303340896
2.6,20.29,7.58,0.9,0.19560238379265493
5.03,5.43,0.57,2.02,0.10453345070422528
1.52,17.78,4.32,0.95,0.09660445770754111
3.44,14.68,2.59,0.61,0.1658194470872852
2.31,4.78,3.48,3.98,0.13018196398264914
2.71,0.4,4.2,3.67,0.0040150611867636994
9.63,14.78,3.82,3.48,0.6958001523210591
9.29,20.73,2.65,1.5,0.4077527387392389
2.7,12.66,5.98,3.07,0.2047688584301649
0.77,18.12,6.47,1.81,0.027007418675005973
6.67,10.72,7.12,5.09,0.46670642181710953
5.3,17.32,7.08,3.02,0.44309719900543787
3.2,18.87,1.84,2.39,0.2506012316177174
8.67,18.14,3.29,1.37,0.3724141680485044
3.62,7.17,1.49,4.49,0.2451879349069775
2.6,11.41,3.15,5.89,0.1956023837926547
3.97,2.09,0.81,3.59,0.10322860761554681
6.03,10.53,3.51,0.42,0.11417076684698867
5.21,12.67,1.28,0.71,0.1930029630032338
1.32,2.62,4.92,1.26,0.035147089805660565
2.59,4.42,7.67,5.14,0.1347730207061758
2.38,8.26,1.76,3.0,0.17543613959013138
1.73,20.12,6.36,0.85,0.11585405444631304
4.05,4.34,2.11,1.65,0.18176456235550864
5.61,10.34,7.59,0.85,0.2310598852855621
9.74,5.84,6.21,2.1,0.41396665339388966
1.52,21.46,2.54,3.99,0.09660445770754074
5.71,11.85,4.02,4.42,0.448571747759182
0.97,16.74,7.18,0.44,0.0455965957374487
1.49,17.94,3.55,2.48,0.09385451531628805
1.46,12.72,1.1,2.91,0.09110457292503485
7.66,6.53,3.9,5.95,0.37024509781354514
6.9,21.05,3.38,4.63,0.5897607932056056
0.5,3.16,1.7,2.47,0.0019120296407083865
8.47,8.72,5.27,4.28,0.46773502994701194
5.9,9.0,4.66,2.12,0.39187219722363503
0.93,24.82,1.1,0.53,0.04187876032496025
8.8,7.62,5.24,2.04,0.4427126140327552
3.98,6.63,2.81,2.52,0.24931988595815097
7.23,12.84,7.55,0.35,0.0951423057058204
5.08,14.65,7.37,0.39,0.1060157120722004
5.78,21.36,2.01,5.27,0.36861795774647893
4.45,1.22,7.37,2.87,0.08653149109404042
2.22,1.71,4.64,3.77,0.03624631098947167
5.11,20.45,6.9,3.73,0.4256808971941674
6.53,8.82,7.35,0.89,0.24193329165193805
6.75,0.21,7.4,0.76,0.12023031498570343
1.04,8.39,3.05,1.36,0.05210280770930361
5.89,11.13,0.37,1.99,0.0678550469483568
8.12,17.27,5.83,4.22,0.6836338520037155
3.18,2.58,2.25,5.01,0.09629838851850248
9.81,12.4,0.18,0.93,0.033010563380281494
3.29,14.51,0.69,5.67,0.1265404929577465
3.71,22.82,6.27,4.56,0.2973502522690207
6.11,15.71,5.14,3.81,0.5173456435692726
5.58,24.66,5.89,4.68,0.4687633279904672
8.74,5.47,0.76,2.95,0.1393779342723003
5.19,20.75,3.61,3.47,0.4330140769041763
5.32,1.05,4.96,4.99,0.10691138787650883
1.66,14.9,4.79,1.07,0.10943752220005462
1.32,24.5,3.21,1.44,0.07812765559672326
1.8,16.72,4.91,3.9,0.12227058669257058
0.97,22.35,3.18,1.95,0.04559659573744865
4.68,9.81,6.92,5.58,0.3544550849268976
3.1,21.61,6.27,5.59,0.24143475698020692
2.53,14.47,2.27,4.96,0.1891858515463971
6.48,21.3,4.91,5.13,0.5512615997280619
2.72,13.04,3.66,0.17,0.046211977057109055
5.61,16.57,4.78,4.44,0.4715132703817203
5.76,1.76,1.02,3.62,0.14587132642668993
2.82,2.08,3.49,3.37,0.06784068901772777
3.35,18.04,5.19,2.06,0.2643509435739823
7.57,16.25,5.14,3.37,0.634968650734339
8.2,14.73,2.09,1.3,0.3533857069073323
3.47,11.97,2.44,3.14,0.2753507131389956
1.74,24.45,0.95,5.6,0.11677070191006418
9.14,13.18,5.83,2.67,0.6344428138952402
6.34,8.58,2.48,3.51,0.39396764796602135
5.03,14.53,2.36,2.27,0.41834771748415994
1.13,20.34,0.41,3.99,0.06046793738740274
2.8,21.8,3.93,1.9,0.21393533306767537
5.22,9.61,4.56,0.78,0.2120314241444014
9.97,10.7,2.85,4.29,0.5226672535211272
3.7,20.85,3.69,4.35,0.2964336048052704
1.16,21.17,5.91,1.35,0.06325631394676912
1.54,7.98,7.81,1.62,0.09843775263504326
4.62,0.85,3.24,3.47,0.07839060841191364
9.54,12.97,6.57,3.33,0.6406171762636932
0.5,7.94,4.65,5.71,0.0019120296407084236
8.61,5.79,1.84,1.29,0.3374413145539908
9.23,21.33,6.22,2.42,0.6578410851659563
5.09,11.66,2.1,3.08,0.3851232394366211
4.29,12.98,3.02,4.47,0.350515805166582
7.86,19.11,5.81,1.31,0.3561040584989357
3.45,11.8,2.71,4.55,0.27351741821149356
3.36,3.54,3.25,5.88,0.13334456272921977
2.34,15.34,3.52,0.52,0.1413542827629341
4.93,17.58,4.15,5.25,0.4091812428466487
2.96,2.25,7.5,2.33,0.07822446794901254
5.81,19.82,2.66,4.33,0.4878227699530529
1.44,7.35,1.24,4.89,0.08927127799753269
2.3,17.96,7.55,3.21,0.16810295988012308
5.45,11.58,2.67,2.91,0.4304370737012538
6.07,24.65,7.51,5.19,0.5136790537142691
8.9,11.75,5.29,5.38,0.5801734183409429
3.99,24.05,3.38,3.65,0.3230163812540504
7.13,23.77,2.03,4.5,0.3722857981220656
5.26,6.79,6.24,3.36,0.3007022795583381
6.64,8.14,3.9,3.74,0.3894181177997929
4.11,5.04,7.7,3.12,0.20646201182931997
7.37,10.34,2.91,2.5,0.4846332848501457
4.15,13.65,4.39,3.03,0.337682740674067
1.43,12.45,1.44,0.84,0.0883517029810667
9.33,15.16,5.31,2.47,0.671432843123931
9.1,15.98,6.18,2.27,0.6170658112920402
9.6,20.53,6.85,1.12,0.30445537825861696
2.78,7.21,2.24,5.15,0.2075412697740639
2.4,19.97,4.55,0.13,0.03533857069073604
4.35,10.26,1.0,4.09,0.18339201877934275
7.05,18.05,5.85,0.1,0.027183515915948565
9.54,20.37,7.24,0.19,0.05164868024030147
9.35,20.26,6.71,0.65,0.17669285345367353
7.41,24.0,5.46,3.47,0.6365098138569091
9.46,11.13,4.83,2.91,0.5782236196982747
9.34,1.99,4.06,4.15,0.2631941833116333
7.94,14.62,7.28,5.66,0.6145384483146489
0.74,10.12,0.29,2.04,0.024219042115639636
5.41,22.78,6.79,0.85,0.2310598852855617
1.02,14.77,4.3,1.67,0.05024389000305933
9.0,23.19,3.28,5.35,0.6015258215962441
3.9,18.45,3.86,0.82,0.22290483051077783
9.29,11.41,5.9,2.27,0.5817982505431679
3.41,17.42,5.62,4.25,0.2698508283564896
4.98,22.88,3.96,2.76,0.4137644801654043
2.07,7.76,0.43,3.84,0.07885856807511742
2.56,7.67,6.19,2.03,0.19193579393764995
2.5,4.31,6.22,0.87,0.12811598845706323
4.59,12.72,5.53,3.84,0.3780152290791131
8.13,1.21,2.44,1.75,0.19826095239466565
1.55,7.3,2.55,3.18,0.09935440009879366
6.67,9.59,5.78,2.08,0.43751315098563703
2.97,13.58,0.29,0.57,0.05318368544600943
4.24,23.58,5.8,0.62,0.16853779867887853
8.48,18.33,4.93,4.94,0.7244942568430975
4.1,5.62,4.14,3.34,0.22498509893467875
5.43,14.17,7.59,5.42,0.4550136160342017
8.77,20.06,7.55,0.68,0.1848479082284479
2.72,12.43,6.79,3.08,0.2066021533576668
7.51,3.56,2.09,4.42,0.26396950547183645
1.73,8.85,2.19,2.16,0.11585405444631304
7.11,9.26,4.49,0.69,0.18756625982004457
8.07,9.31,5.22,4.38,0.4739093923154648
2.18,22.13,4.97,2.63,0.15710319031511039
1.91,23.56,6.07,1.33,0.13235370879383207
3.44,20.26,5.6,4.62,0.27260077074774247
4.47,17.94,3.15,1.35,0.36697746486530625
6.36,24.4,2.55,2.82,0.46764964788732366
6.77,13.58,6.76,4.59,0.5369495896870581
0.68,24.96,6.04,5.2,0.01864228899690679
6.55,21.42,0.99,2.15,0.18155809859154953
8.78,5.12,0.72,4.75,0.13204225352112678
8.37,4.15,6.85,4.15,0.3114026076299462
5.25,20.77,3.41,1.24,0.3370755973577666
2.92,12.68,4.3,4.85,0.22493510263268804
7.93,14.58,6.27,1.23,0.33435724576616394
0.6,21.85,0.7,1.56,0.011206618171929833
6.98,10.3,7.02,1.86,0.4706597279110158
5.4,21.93,7.31,1.67,0.45226367364294806
4.68,13.77,7.6,5.99,0.3862650562528725
2.43,18.2,3.09,0.15,0.04077527387391712
6.9,7.42,4.52,1.88,0.3744696615393284
1.75,10.24,1.93,3.26,0.1176873493738153
2.07,12.76,1.34,4.06,0.14702006821384872
7.56,2.85,3.8,0.52,0.1413542827629332
6.02,6.68,4.27,3.15,0.32182509818725585
9.25,13.77,4.71,2.47,0.6551693003178541
9.5,19.45,2.35,5.08,0.4309712441314551
4.38,20.73,6.6,1.21,0.3289205425829775
7.04,7.34,2.45,1.85,0.37641946018199757
7.28,5.82,0.11,4.32,0.020173122065727554
1.79,2.7,1.98,2.34,0.05502765058200126
4.81,1.21,7.77,4.32,0.09713679064252619
3.3,8.04,3.64,3.79,0.25046765013903266
1.55,4.8,6.89,1.61,0.09574903855620447
3.86,21.79,5.34,2.12,0.31109996422528663
6.87,0.59,5.91,2.97,0.13756430328166233
8.15,23.87,7.41,5.46,0.7043417261744865
5.17,9.07,3.77,4.17,0.3599643529951288
8.85,5.25,7.35,4.91,0.36561977868982776
9.79,22.02,2.31,0.73,0.1984396661864327
1.21,7.35,4.95,4.85,0.06790360821237955
9.0,15.63,0.14,1.2,0.025674882629107422
1.09,9.15,4.06,0.36,0.05675010197491424
3.55,4.56,5.21,2.84,0.17266550202305136
5.0,10.75,7.65,1.37,0.3724141680484933
5.21,18.43,4.5,5.58,0.4348473718316782
3.84,11.65,0.8,3.69,0.14671361502347435
2.95,4.09,4.4,3.24,0.13789409289544854
0.85,17.49,5.03,1.22,0.03444308949998276
4.75,18.04,4.28,2.43,0.39268158849912993
3.29,15.3,7.52,4.06,0.2588510587914766
0.84,11.57,7.14,0.66,0.033513630646860956
9.89,23.73,0.72,5.61,0.1320422535211266
3.7,21.13,3.41,2.7,0.29643360480526926
6.38,19.38,0.37,3.6,0.06785504694835688
1.95,8.71,2.85,2.87,0.13602029864883625
3.41,2.77,1.25,0.3,0.08155054774784602
4.76,23.87,1.01,5.68,0.18522593896713652
7.36,15.97,5.2,4.98,0.6188999522019991
1.16,12.67,5.61,3.56,0.06325631394676919
8.34,1.9,5.56,3.25,0.2294953594199705
3.85,8.57,5.0,5.36,0.28788476243577
5.01,20.64,3.28,0.7,0.1902846114116361
7.21,18.6,0.5,1.4,0.09169600938967142
2.82,13.74,1.24,0.89,0.21576862799517754
9.44,20.12,1.53,2.5,0.28058978873239543
3.62,19.8,4.13,0.85,0.23105988528556248
7.42,9.98,2.18,2.32,0.3997946009389663
5.03,8.64,2.01,2.45,0.34366610162661143
6.57,19.37,6.53,3.01,0.5595114269018208
2.13,18.46,5.63,1.55,0.15251995299635512
9.04,2.7,7.86,5.18,0.2796143990616383
6.91,23.47,5.81,1.22,0.33163889417457343
4.48,1.88,3.18,4.48,0.11120334983477315
3.93,8.32,4.8,5.25,0.2858187869101836
0.57,9.7,1.35,4.2,0.008418241612563368
1.15,16.65,2.36,1.27,0.06232685509364698
9.37,0.56,3.56,0.23,0.06252208660668335
4.89,12.58,2.64,0.88,0.23921494006035762
3.83,16.84,6.28,3.23,0.3083500218340335
5.94,5.1,2.37,1.06,0.26788066907340413
2.57,5.7,4.2,3.42,0.16323757239203732
9.45,4.97,5.17,4.92,0.3738160415262546
5.65,6.45,2.17,0.33,0.08970560252263315
3.12,18.64,0.48,1.39,0.08802816901408443
7.09,19.59,3.7,4.22,0.6071770950168753
3.94,4.08,3.25,3.52,0.16974080405904748
9.49,1.81,4.11,2.04,0.26128356798827707
5.13,0.7,2.57,4.94,0.08852517664884747
5.58,11.32,2.36,1.86,0.43043707370125406
3.89,20.91,7.74,2.69,0.3138499066165396
3.99,21.18,3.47,3.36,0.32301638125405024
2.39,18.61,4.3,4.87,0.17635278705388244
7.83,5.45,5.75,4.82,0.3406731517330598
3.53,4.4,0.12,2.76,0.022007042253521025
3.59,13.92,1.59,5.17,0.28635048270400854
2.65,5.74,3.9,3.04,0.16782862911556362
2.23,6.87,1.44,4.34,0.16168642763386576
7.72,11.61,5.74,4.44,0.5353427198338246
1.47,24.16,6.59,1.31,0.09202122038878618
1.94,3.23,1.19,4.51,0.07712536853225396
4.75,19.6,6.0,3.67,0.3926815884991303
6.9,0.56,2.56,3.86,0.13739816281876052
2.73,17.23,6.36,1.91,0.20751880082141744
